name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
Imagine Dragons - Thunder;0.605;0.822;0.0;-4.833;1.0;0.0438;0.00671;0.134;0.147;0.288;167.997;187147.0;4.0
Reik - Me Niego;0.777;0.779;0.0;-4.449;0.0;0.0972;0.0543;0.0;0.636;0.768;94.023;221653.0;4.0
Ti?sto - Jackie Chan;0.747;0.834;3.0;-2.867;0.0;0.045;0.374;0.0;0.0586;0.687;128.005;215760.0;4.0
Bruno Mars - Finesse (Remix) [feat. Cardi B];0.704;0.859;5.0;-4.877;0.0;0.0996;0.0185;0.0;0.0215;0.926;105.115;217289.0;4.0
Selena Gomez - Back To You - From 13 Reasons Why ? Season 2 Soundtrack;0.601;0.724;6.0;-4.856;1.0;0.0486;0.0945;0.00000168;0.12;0.508;102.061;207905.0;4.0
NF - Let You Down;0.656;0.721;5.0;-5.665;0.0;0.122;0.298;0.0;0.173;0.468;148.066;212120.0;4.0
The Weeknd - Call Out My Name;0.489;0.598;1.0;-4.929;1.0;0.036;0.218;0.0;0.35;0.172;134.045;228373.0;3.0
Offset - Ric Flair Drip (& Metro Boomin);0.88;0.428;9.0;-8.28;1.0;0.206;0.149;0.0000507;0.114;0.333;100.007;172800.0;4.0
Marshmello - Happier;0.687;0.792;5.0;-2.749;1.0;0.0452;0.191;0.0;0.167;0.671;100.015;214290.0;4.0
Sam Smith - Too Good At Goodbyes;0.698;0.375;5.0;-8.279;1.0;0.0491;0.652;0.0;0.173;0.534;91.92;201000.0;4.0
Lil Dicky - Freaky Friday (feat. Chris Brown);0.755;0.599;8.0;-5.042;1.0;0.224;0.147;0.0;0.109;0.755;133.123;216632.0;4.0
Imagine Dragons - Believer;0.776;0.78;10.0;-4.374;0.0;0.128;0.0622;0.0;0.081;0.666;124.949;204347.0;4.0
6ix9ine - FEFE (feat. Nicki Minaj & Murda Beatz);0.931;0.387;1.0;-9.127;1.0;0.412;0.088;0.0;0.136;0.376;125.978;179405.0;4.0
Jonas Blue - Rise;0.687;0.785;1.0;-4.65;1.0;0.0333;0.327;0.0;0.203;0.655;106.046;194408.0;4.0
Loud Luxury - Body (feat. brando);0.752;0.764;1.0;-4.399;1.0;0.038;0.0476;0.0000944;0.0543;0.582;121.958;163216.0;4.0
Lil Uzi Vert - XO TOUR Llif3;0.732;0.75;11.0;-6.366;0.0;0.231;0.00264;0.0;0.109;0.401;155.096;182707.0;4.0
Becky G - Sin Pijama;0.791;0.745;11.0;-3.695;0.0;0.0464;0.354;0.0000293;0.104;0.82;94.014;188560.0;4.0
Anne-Marie - 2002;0.697;0.683;1.0;-2.881;0.0;0.117;0.0372;0.0;0.137;0.603;96.133;186987.0;4.0
Drake - Nonstop;0.912;0.412;7.0;-8.074;1.0;0.124;0.0164;0.013;0.104;0.422;154.983;238614.0;4.0
XXXTENTACION - Fuck Love (feat. Trippie Redd);0.797;0.533;0.0;-9.74;0.0;0.0412;0.0172;0.000152;0.103;0.329;131.036;146520.0;4.0
Shawn Mendes - In My Blood;0.622;0.712;5.0;-7.321;1.0;0.066;0.0573;0.0;0.13;0.487;140.025;211360.0;4.0
Marshmello - Silence;0.52;0.761;4.0;-3.093;1.0;0.0853;0.256;0.00000496;0.17;0.286;141.971;180823.0;4.0
Ariana Grande - God is a woman;0.602;0.658;1.0;-5.934;1.0;0.0558;0.0233;0.00006;0.237;0.268;145.031;197547.0;4.0
Piso 21 - D?jala que vuelva (feat. Manuel Turizo);0.681;0.788;1.0;-4.323;1.0;0.0785;0.0482;0.0;0.0753;0.839;170.019;220117.0;4.0
David Guetta - Flames;0.631;0.649;5.0;-5.892;0.0;0.0385;0.0817;0.0000038;0.0934;0.421;93.95;194680.0;4.0
Maroon 5 - What Lovers Do;0.799;0.597;5.0;-5.131;0.0;0.0611;0.0788;0.00000566;0.1;0.419;110.001;199849.0;4.0
DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B);0.841;0.798;1.0;-4.206;0.0;0.229;0.153;0.00000333;0.0618;0.591;95.948;212500.0;4.0
Hailee Steinfeld - Let Me Go (with Alesso, Florida Georgia Line & watt);0.663;0.708;8.0;-4.154;1.0;0.0473;0.0337;0.0;0.0841;0.742;103.073;174800.0;4.0
Portugal. The Man - Feel It Still;0.801;0.795;1.0;-5.115;0.0;0.0504;0.0417;0.000113;0.0717;0.754;79.028;163253.0;4.0
The Weeknd - Pray For Me (with Kendrick Lamar);0.735;0.677;2.0;-4.979;1.0;0.093;0.0762;0.0000217;0.111;0.188;100.584;211440.0;4.0
Migos - Walk It Talk It;0.909;0.628;2.0;-5.456;1.0;0.201;0.0739;0.0;0.108;0.406;145.905;276147.0;4.0
G-Eazy - Him & I (with Halsey);0.589;0.731;2.0;-6.343;1.0;0.0868;0.0534;0.0;0.308;0.191;87.908;268867.0;4.0
Post Malone - Candy Paint;0.67;0.654;4.0;-5.944;1.0;0.153;0.627;0.00000102;0.071;0.438;180.024;227533.0;4.0
Post Malone - Congratulations;0.63;0.804;6.0;-4.183;1.0;0.0363;0.215;0.0;0.253;0.492;123.146;220293.0;4.0
Sofia Reyes - 1, 2, 3 (feat. Jason Derulo & De La Ghetto);0.792;0.895;1.0;-3.112;0.0;0.0589;0.165;0.0;0.0501;0.794;94.968;201526.0;4.0
Natti Natasha - Criminal;0.814;0.813;2.0;-3.023;0.0;0.0561;0.03;0.0000933;0.255;0.839;79.997;232550.0;4.0
Rich The Kid - Plug Walk;0.876;0.519;11.0;-6.531;1.0;0.143;0.202;0.0;0.108;0.158;94.981;175230.0;4.0
Billie Eilish - lovely (with Khalid);0.351;0.296;4.0;-10.109;0.0;0.0333;0.934;0.0;0.095;0.12;115.284;200186.0;4.0
Migos - Stir Fry;0.815;0.816;2.0;-5.474;1.0;0.269;0.00299;0.0;0.159;0.498;181.967;190288.0;4.0
Kendrick Lamar - HUMBLE.;0.908;0.621;1.0;-6.638;0.0;0.102;0.000282;0.0000539;0.0958;0.421;150.011;177000.0;4.0
Ozuna - Vaina Loca;0.754;0.805;6.0;-4.249;1.0;0.0752;0.315;0.0;0.203;0.555;93.983;176133.0;4.0
Ed Sheeran - Perfect Duet (Ed Sheeran & Beyonc?);0.587;0.299;8.0;-7.365;1.0;0.0263;0.779;0.0;0.123;0.356;94.992;259550.0;3.0
Maluma - Coraz?n (feat. Nego do Borel);0.722;0.738;9.0;-6.073;0.0;0.247;0.328;0.0000147;0.198;0.748;198.075;184720.0;4.0
Khalid - Young Dumb & Broke;0.798;0.539;1.0;-6.351;1.0;0.0421;0.199;0.0000166;0.165;0.394;136.949;202547.0;4.0
Ozuna - S?guelo Bailando;0.855;0.664;9.0;-7.11;0.0;0.0607;0.165;0.0000397;0.0937;0.626;98.015;226800.0;4.0
Anitta - Downtown;0.775;0.679;4.0;-4.985;0.0;0.135;0.18;0.0000726;0.068;0.619;166.008;193456.0;4.0
Wolfine - Bella;0.909;0.493;3.0;-6.688;1.0;0.0735;0.128;0.000147;0.127;0.844;94.016;197120.0;4.0
